Month,Year,State,Count_Staff_Shortage_Yes,Count_Staff_Shortage_No,Count_Covid_Cases,Hospitals_Covid_Cases,Count_Beds,Count_Beds_Used,Count_Beds_Used_Covid,Bed_Utilization,Pct_Patients_Covid,Bed_Utilization_Covid
1,2022,VT,10,6,2,16,1227,789,68,0.643031785,0.087741935,0.056761269
1,2022,DC,0,12,50,12,3396,2352,669,0.692579505,0.297333333,0.204900459
2,2022,IN,32,100,8,133,14802,12050,2636,0.814079178,0.220733545,0.179833538
2,2022,VA,17,64,94,98,17317,13179,2785,0.761044061,0.213786751,0.162875022
2,2022,MO,13,74,55,121,15399,12954,3373,0.841223456,0.26496465,0.223200106
1,2022,SD,1,61,55,62,2718,1592,222,0.585724798,0.141671985,0.083521445
2,2022,GA,38,94,68,155,20995,18054,5090,0.859919028,0.285537978,0.245680085
2,2022,OR,6,46,55,61,7030,5630,1266,0.800853485,0.229015919,0.184118674
1,2022,ND,11,38,80,49,2235,1739,211,0.778076063,0.122460824,0.095518334
1,2022,ID,4,46,11,52,3294,2298,257,0.697632058,0.112967033,0.07902829
1,2022,MA,26,76,100,102,17688,14685,1896,0.830223881,0.130094689,0.108040344
2,2022,NE,23,60,9,94,4191,3224,760,0.769267478,0.239445495,0.184600437
2,2022,WY,0,1,8,28,1639,784,172,0.478340451,0.224543081,0.107365793
1,2022,MN,24,90,35,139,9725,7812,1438,0.803290488,0.187020419,0.150544389
1,2022,MO,36,81,34,137,16998,13470,2697,0.79244617,0.202949808,0.161159247
2,2022,CO,15,49,15,93,10569,7477,1402,0.707446305,0.189998645,0.134008794
1,2022,FL,38,172,130,264,58967,43416,5857,0.736276222,0.136909771,0.10085061
2,2022,NV,0,2,87,55,8339,6937,1678,0.831874325,0.246692149,0.205009163
1,2022,WI,41,84,6,145,12541,8867,1887,0.707040906,0.217471476,0.153752139
2,2022,OH,3,69,71,195,27384,21587,4462,0.788307041,0.208572898,0.164813652
2,2022,FL,11,159,279,235,56665,46663,8648,0.823488926,0.188516371,0.155129424
2,2022,AZ,12,62,44,102,16299,12996,3373,0.797349531,0.264445316,0.210970728
